strike,expiry,days_to_expiry,option_type,market_price,implied_vol,moneyness
711.0,2026-07-01,5,call,22.315,0.188139,-0.029381
712.0,2026-07-01,5,call,21.42,0.188921,-0.027976
714.0,2026-07-01,5,call,19.64,0.188723,-0.025171
715.0,2026-07-01,5,call,18.64,0.181423,-0.023771
720.0,2026-07-01,5,call,14.28,0.173434,-0.016803
721.0,2026-07-01,5,call,13.535,0.175345,-0.015415
725.0,2026-07-01,5,call,10.385,0.168602,-0.009882
727.0,2026-07-01,5,call,8.96,0.166226,-0.007127
730.0,2026-07-01,5,call,6.775,0.155791,-0.003009
732.0,2026-07-01,5,call,5.605,0.153547,-0.000273
733.0,2026-07-01,5,call,5.01,0.150832,0.001092
735.0,2026-07-01,5,call,3.955,0.146605,0.003817
736.0,2026-07-01,5,call,3.445,0.143537,0.005176
737.0,2026-07-01,5,call,3.03,0.142319,0.006534
738.0,2026-07-01,5,call,2.605,0.139732,0.00789
739.0,2026-07-01,5,call,2.22,0.137283,0.009244
740.0,2026-07-01,5,call,1.9,0.135868,0.010596
742.0,2026-07-01,5,call,1.305,0.130999,0.013296
743.0,2026-07-01,5,call,1.075,0.129274,0.014642
744.0,2026-07-01,5,call,0.855,0.126577,0.015987
745.0,2026-07-01,5,call,0.69,0.125137,0.017331
746.0,2026-07-01,5,call,0.545,0.1234,0.018672
747.0,2026-07-01,5,call,0.405,0.120278,0.020011
748.0,2026-07-01,5,call,0.295,0.117375,0.021349
749.0,2026-07-01,5,call,0.225,0.11626,0.022685
750.0,2026-07-01,5,call,0.165,0.11462,0.024019
751.0,2026-07-01,5,call,0.115,0.112402,0.025352
752.0,2026-07-01,5,call,0.085,0.111722,0.026683
753.0,2026-07-01,5,call,0.055,0.109142,0.028012
754.0,2026-07-01,5,call,0.045,0.11053,0.029339
755.0,2026-07-01,5,call,0.025,0.106593,0.030664
756.0,2026-07-01,5,call,0.025,0.110711,0.031988
757.0,2026-07-01,5,call,0.015,0.108296,0.03331
758.0,2026-07-01,5,call,0.015,0.112183,0.03463
759.0,2026-07-01,5,call,0.015,0.116052,0.035948
760.0,2026-07-01,5,call,0.015,0.119902,0.037265
761.0,2026-07-01,5,call,0.015,0.123735,0.03858
762.0,2026-07-01,5,call,0.015,0.127551,0.039893
763.0,2026-07-01,5,call,0.015,0.13135,0.041204
600.0,2026-07-01,5,put,0.015,0.563404,-0.199124
620.0,2026-07-01,5,put,0.025,0.500034,-0.166334
625.0,2026-07-01,5,put,0.025,0.478007,-0.158302
635.0,2026-07-01,5,put,0.035,0.448783,-0.142429
645.0,2026-07-01,5,put,0.045,0.414877,-0.126803
650.0,2026-07-01,5,put,0.045,0.392192,-0.119081
670.0,2026-07-01,5,put,0.075,0.320624,-0.088776
675.0,2026-07-01,5,put,0.095,0.306083,-0.081341
680.0,2026-07-01,5,put,0.115,0.289228,-0.073961
685.0,2026-07-01,5,put,0.145,0.273404,-0.066635
690.0,2026-07-01,5,put,0.175,0.255144,-0.059362
695.0,2026-07-01,5,put,0.235,0.240386,-0.052142
700.0,2026-07-01,5,put,0.335,0.227351,-0.044973
701.0,2026-07-01,5,put,0.37,0.225924,-0.043546
702.0,2026-07-01,5,put,0.4,0.223535,-0.04212
703.0,2026-07-01,5,put,0.435,0.221396,-0.040697
704.0,2026-07-01,5,put,0.465,0.218432,-0.039275
705.0,2026-07-01,5,put,0.515,0.21713,-0.037856
706.0,2026-07-01,5,put,0.56,0.214945,-0.036438
